seed,threshold,lead_time,auc_full,auc_E_only,auc_I_only,auc_C_only,auc_EI,auc_EC,auc_IC,mean_stable,mean_pre,mean_instability
19,2.4633549261555934,111.36,0.9999903571428571,0.9999901190476191,0.9989519047619047,0.9998808333333333,0.9999901785714286,0.9999902380952381,0.9990441071428572,1.591759625356106,59.05857758216994,204.87373179537485
20,2.497512271022193,112.0,0.9999884523809524,0.9999736309523809,0.9962871428571428,0.9992916666666667,0.9999882142857143,0.9999742261904763,0.9967219047619047,1.5351043907950754,36.06183097068065,113.71076233530712
21,2.3873074430438956,112.0,0.9999563095238095,0.9999234523809524,0.9990376785714286,0.9999970238095238,0.9999548214285715,0.9999257738095237,0.9992025595238094,1.6020587097158692,41.72961566201065,133.70136047617154
22,2.5429649676687247,100.16,0.9998924404761905,0.9998864880952381,0.9976867857142857,0.9999464880952381,0.9998918452380953,0.9998870833333333,0.9980433928571428,1.5780984429975256,47.51120723339651,183.51222794940634
23,2.3770516855419705,112.0,0.9996875,0.9996647619047618,0.9986554761904762,0.9997617857142858,0.9996834523809524,0.9996694642857142,0.9990796428571429,1.6481555929850824,42.108520695223184,151.05737772400462
24,2.5790439174370454,106.48,0.9999583928571428,0.9999438095238095,0.9988184523809523,0.9999982738095238,0.9999580357142858,0.9999443452380952,0.9990516666666667,1.5575527385119812,46.62320370806557,173.9357132120536
25,2.6678933062561114,112.0,0.9999614285714286,0.9999544047619048,0.9967532142857142,0.9992038095238095,0.9999610119047619,0.9999548214285714,0.9972123214285715,1.5150063949938568,51.286972260700125,194.8215494971571
26,2.2532472634442255,112.0,0.9996757142857142,0.9995934523809524,0.9980702380952381,0.9994279166666667,0.9996722023809523,0.9995981547619047,0.9981791071428572,1.6363333581843897,51.566810227535065,163.88141840020975
27,2.3312177741117304,112.0,0.9998972619047619,0.9998836904761904,0.9972768452380953,0.9990509523809524,0.9998970238095237,0.999883988095238,0.9974082738095239,1.5739082732468181,63.383083950929326,221.8027500007238
28,2.473743148905123,112.0,0.9997243452380953,0.9996915476190475,0.9977830357142857,0.9999882142857143,0.9997213690476191,0.9996948214285714,0.998178630952381,1.593236156939369,40.15036970154517,123.50234768861084
29,2.8072736447728905,112.0,0.999973869047619,0.9999580357142857,0.997395119047619,0.9993085714285714,0.9999725595238096,0.9999592261904762,0.9979107142857143,1.476386386307913,39.65325615171303,139.5931252186582
30,2.384704964835001,112.0,0.9991330357142857,0.9990958928571428,0.9984216666666668,0.9996324404761905,0.9991302976190477,0.9990991071428571,0.9985402380952381,1.5941640484629596,43.89398944340656,169.66699265487958
31,2.617037087776225,112.0,0.9998532738095238,0.9998207142857143,0.9986222619047619,0.9999322023809523,0.9998517261904762,0.9998224404761905,0.9987999404761905,1.5515157465351452,51.60455166052491,164.4022483184534
32,2.466040196537339,112.0,0.9995439285714286,0.9995220238095238,0.9991722619047618,0.9999833928571429,0.9995423809523809,0.9995234523809524,0.999285119047619,1.6106252356958972,66.22863457957887,265.64442514385223
33,2.4127557283484284,110.18,0.9996177380952381,0.9995553571428571,0.9992899404761905,0.9991935119047619,0.9996150595238096,0.9995586904761905,0.9993509523809523,1.6227553236647425,57.80377943024845,193.16449065168104
34,2.60600283324118,93.22,0.9999283928571429,0.9999270238095238,0.9991108333333333,0.9997985714285714,0.9999282738095239,0.9999273214285714,0.9991778571428572,1.5564532258175752,42.76598283373278,143.87554360040644
35,2.507443351773673,112.0,0.9998469642857143,0.9998272619047619,0.9972757142857143,0.9997551785714286,0.9998439285714286,0.9998298214285715,0.997746130952381,1.5784108514950046,48.052561143035476,174.19463342160105
36,2.5502175247936836,112.0,0.9997226785714286,0.9996327380952381,0.9986369047619048,0.9999648809523809,0.9997205952380952,0.9996366071428572,0.9987036904761905,1.5865706488269453,50.977202343358336,160.39052921358052
37,2.4928811609582806,108.88,0.9999641666666667,0.999823630952381,0.9990135714285714,0.9997957738095238,0.9999633928571429,0.9998375595238095,0.9990759523809524,1.6316959219885452,44.9237999845827,104.73368443615473
38,2.543030092795146,112.0,0.999392380952381,0.9993695238095238,0.9968975,0.9995416071428571,0.9993906547619048,0.9993713690476191,0.9973410119047619,1.5600724806554522,53.04628031113781,202.86736364406224
39,2.5575184119472922,111.34,0.9999864285714286,0.9999818452380952,0.9972416666666666,0.9977884523809524,0.9999863095238095,0.9999821428571428,0.9977131547619048,1.608567348177107,53.78209512836897,183.93128594563203
40,2.655072204681482,112.0,0.9998704761904762,0.99980625,0.9994172619047619,0.9999994642857143,0.9998674404761905,0.9998095238095238,0.9995172619047619,1.518888907914537,49.30595397964995,167.02361785859247
41,2.401525899919612,99.34,0.9997930952380952,0.9997896428571429,0.9978984523809524,0.9999384523809525,0.99979125,0.9997908928571428,0.9982719642857143,1.6220456444776055,52.31249967140489,188.76999449336543
42,2.496056052798198,112.0,0.9999817857142856,0.99997375,0.9989463095238096,0.9999877976190477,0.9999814285714286,0.9999742261904762,0.9990727976190475,1.5681101561749744,44.30602988481811,139.3775854941526
43,2.5465436570254436,101.3,0.9999855952380952,0.9999656547619048,0.9995953571428571,0.999993392857143,0.9999850595238096,0.999966369047619,0.9996844642857142,1.5613504637583775,42.73673761835703,149.22060396821033
