t,regime,DeltaPhi,E,I,C
8.32,stable,0.202325,0.502027,0.056861,209.155569
8.34,stable,0.197595,0.50205,0.056888,208.740452
8.36,stable,0.20149,0.5019,0.056647,208.903304
8.38,stable,0.20248,0.50184,0.056683,208.927047
8.4,stable,0.181705,0.502152,0.056873,207.266807
8.42,stable,0.179796,0.502121,0.056893,207.020167
8.44,stable,0.183553,0.502088,0.056885,207.378968
8.46,stable,0.188568,0.502103,0.056892,207.919776
8.48,stable,0.184546,0.502175,0.056787,207.588905
8.5,stable,0.181637,0.502242,0.056796,207.371802
8.52,stable,0.177651,0.502109,0.056854,206.761724
8.54,stable,0.212663,0.501536,0.056237,209.453282
8.56,stable,0.204728,0.501429,0.056043,208.555861
8.58,stable,0.199798,0.501396,0.05609,208.028109
8.6,stable,0.1966,0.501012,0.056854,207.215829
8.62,stable,0.148622,0.501636,0.056949,201.785323
8.64,stable,0.146909,0.502324,0.057597,203.159298
8.66,stable,0.140772,0.502172,0.057626,201.743879
8.68,stable,0.146279,0.50151,0.057835,201.139327
8.7,stable,0.144373,0.501599,0.057785,200.975154
8.72,stable,0.145616,0.501679,0.057746,201.457555
8.74,stable,0.145116,0.502093,0.057155,202.284641
8.76,stable,0.146781,0.501883,0.057346,202.127727
8.78,stable,0.136033,0.502259,0.05723,200.901981
8.8,stable,0.133459,0.502507,0.057198,201.001536
8.82,stable,0.13171,0.50237,0.057407,200.243134
8.84,stable,0.125373,0.502563,0.057465,199.136612
8.86,stable,0.117197,0.503493,0.057572,199.880765
8.88,stable,0.130396,0.503879,0.057261,203.276104
8.9,stable,0.164064,0.503246,0.056911,206.762409
8.92,stable,0.163279,0.503519,0.056701,206.981103
8.94,stable,0.169918,0.503938,0.056541,208.115297
8.96,stable,0.127939,0.503048,0.056657,201.067104
8.98,stable,0.199834,0.502311,0.055717,209.151451
9.0,stable,0.205899,0.502499,0.055503,209.888033
9.02,stable,0.178202,0.503073,0.055949,207.956505
9.04,stable,0.169355,0.502944,0.055963,206.866051
9.06,stable,0.176563,0.502928,0.055938,207.615811
